id,name_id,full_name,first_name,last_name,team,position,age,experience,college,injury_status,weight,height,jersey_number,active,updated_at,created_at
123,brandincookswr,Brandin Cooks,Brandin,Cooks,HOU,WR,28,7,Oregon State,,183,"5'10""",13,true,2021-12-05 22:50:31.894081 +00:00,2021-12-05 22:23:32.392439 +00:00
124,robertwoodswr,Robert Woods,Robert,Woods,LAR,WR,29,8,USC,IR,195,"6'0""",2,true,2021-12-05 22:50:31.894681 +00:00,2021-12-05 22:23:32.394156 +00:00
125,mylesgaskinrb,Myles Gaskin,Myles,Gaskin,MIA,RB,24,2,Washington,,194,"5'10""",37,true,2021-12-05 22:50:31.895281 +00:00,2021-12-05 22:23:32.401736 +00:00
127,chaseedmondsrb,Chase Edmonds,Chase,Edmonds,ARI,RB,25,3,Fordham,IR,210,"5'9""",2,true,2021-12-05 22:50:31.896518 +00:00,2021-12-05 22:23:32.403144 +00:00
128,2022mid2ndpi,2022 Mid 2nd,2022,Mid 2nd,FA,PI,,0,,,,,0,,2021-12-05 22:50:31.897113 +00:00,2021-12-05 22:23:32.403730 +00:00
129,2023mid2ndpi,2023 Mid 2nd,2023,Mid 2nd,FA,PI,,0,,,,,0,,2021-12-05 22:50:31.897743 +00:00,2021-12-05 22:23:32.404313 +00:00
130,vanjeffersonwr,Van Jefferson,Van,Jefferson,LAR,WR,25,1,Florida,,200,"6'1""",12,true,2021-12-05 22:50:31.898681 +00:00,2021-12-05 22:23:32.416890 +00:00
131,colekmette,Cole Kmet,Cole,Kmet,CHI,TE,22,1,Notre Dame,,260,"6'6""",85,true,2021-12-05 22:50:31.899307 +00:00,2021-12-05 22:23:32.417696 +00:00
132,laviskashenaultwr,Laviska Shenault,Laviska,Shenault,JAC,WR,23,1,Colorado,,227,"6'1""",10,true,2021-12-05 22:50:31.899959 +00:00,2021-12-05 22:23:32.418253 +00:00
133,2023late2ndpi,2023 Late 2nd,2023,Late 2nd,FA,PI,,0,,,,,0,,2021-12-05 22:50:31.900591 +00:00,2021-12-05 22:23:32.418641 +00:00
134,christiankirkwr,Christian Kirk,Christian,Kirk,ARI,WR,25,3,Texas A&M,,200,"5'11""",13,true,2021-12-05 22:50:31.901200 +00:00,2021-12-05 22:23:32.419005 +00:00
135,jordanloveqb,Jordan Love,Jordan,Love,GBP,QB,23,1,Utah State,,219,"6'4""",10,true,2021-12-05 22:50:31.901813 +00:00,2021-12-05 22:23:32.432071 +00:00
136,2022late2ndpi,2022 Late 2nd,2022,Late 2nd,FA,PI,,0,,,,,0,,2021-12-05 22:50:31.902832 +00:00,2021-12-05 22:23:32.432706 +00:00
137,djcharkwr,D.J. Chark,D.J.,Chark,JAC,WR,25,3,LSU,IR,198,"6'4""",17,true,2021-12-05 22:50:31.903573 +00:00,2021-12-05 22:23:32.433354 +00:00
138,khalilherbertrb,Khalil Herbert,Khalil,Herbert,CHI,RB,23,0,Virginia Tech,,212,"5'9""",24,true,2021-12-05 22:50:31.904271 +00:00,2021-12-05 22:23:32.433961 +00:00
139,hunterhenryte,Hunter Henry,Hunter,Henry,NEP,TE,26,5,Arkansas,,250,"6'5""",85,true,2021-12-05 22:50:31.904877 +00:00,2021-12-05 22:23:32.434424 +00:00
140,robgronkowskite,Rob Gronkowski,Rob,Gronkowski,TBB,TE,32,11,Arizona,,265,"6'6""",87,true,2021-12-05 22:50:31.905480 +00:00,2021-12-05 22:23:32.447354 +00:00
